hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal
L,2.2825356391083678,-0.7416407864998741,1.038781163434903,0.002218778245151043,-0.2779782712459564,0.7204043865203857,2.3999999999999995,-0.31415926535897953,4386,[-24.061 -85.42  -21.133],[-0.578 -0.705  0.412]
R,-1.3499999999999999,1.6532731788489266e-16,1.038781163434903,0.0025929505936801434,-0.3096372187137604,0.7729512453079224,1.3499999999999999,3.141592653589793,5281,[  6.738 -83.741 -15.439],[ 0.447  0.181 -0.876]
