hemi,x,y,size,beta,baseline,r2,index,position,normal
L,0.7416407864998732,-2.282535639108368,0.4388850415512466,1.2100668755010702e-05,-0.21565771102905273,0.7366697788238525,3386,[-34.16584  -73.379684 -20.31933 ],[0.78787446 0.48103785 0.38452103]
R,4.95943806621774,-6.82608089003862,1.4341672437673132,-1.2664264659179025e-06,0.11442461609840393,0.44051119685173035,4485,[ -5.4595246 -73.38428   -20.012802 ],[-0.99726043 -0.0283751  -0.06831177]
