hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal
L,0.5510486740241933,-0.7584534322265133,0.234375,0.031364016234874725,-0.19979816675186157,0.5327985286712646,0.9374999999999999,-0.9424777960769383,5595,[-28.552845 -80.7651   -22.174267],[-0.26144374 -0.90933917 -0.32365018]
R,-1.7475663486923443,0.567818727163966,0.234375,0.030499175190925598,-0.19454313814640045,0.4018895924091339,1.8374999999999995,2.827433388230814,4256,[  5.3108277 -82.35317   -21.33807  ],[ 0.32758073 -0.59219596  0.73620297]
