hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal,stim_sizes
L,1.26,-0.35,0.61,88.58,0.0,0.63,1.3077079184588585,-0.27094685033842053,6055,[-25.11261  -84.139275 -20.662226],[-0.48451046 -0.81196755  0.32551238],[1.22221662 3.62722351]
R,-2.3559425282873643,0.8591530581410671,0.8070754170650146,118.43728045255736,0.0,0.732977956619503,2.507709946127384,2.791904726554055,15999,[  4.212 -76.979 -13.944],[-0.685 -0.409  0.603],[1.22221662 3.62722351]
