,hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal
0,L,3.6708568585151213,-2.666994103886751,1.038769641681254,0.002951078875512702,-0.2885350888578285,0.650232273904131,4.537405384784811,-0.6283114846713771,148421,[-23.055443 -80.74684  -25.734392],[ 0.27173216  0.46804526 -0.84088957]
1,R,-5.126586867916213,-3.725629393620346,1.0387270013272374,0.0031247620501854965,-0.31768709613185164,0.6478554516229906,6.337365958574499,-2.513153356826266,2522,[  4.707428 -78.622536 -17.255184],[-0.76389713  0.40493207  0.50248502]
