hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal,stim_sizes
R,-0.5369975983349337,-0.15938509082821975,0.6685703154383729,1.290821091625538,0.1345559885529152,0.6133201632772654,0.5601517899603701,-2.8530670241080376,133257,[ 17.185 -89.04  -14.756],[ 0.954 -0.295  0.058],[1.114 1.559 1.805 2.005 3.   ]
L,3.3599300758004205,-0.6231565612812362,0.8249090246151661,76.73941901820535,0.0553690589201175,0.6140318806995874,3.4172290257072437,-0.183383392273869,4000,[-16.5   -84.526 -16.546],[0.903 0.145 0.404],[0.668 1.114 1.149 1.336 3.   ]
