hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal,stim_sizes
R,0.24066798556466196,1.7271171665902947,0.8466926483036143,3.754842599833541,0.06394645869869103,0.8006309723517566,1.6146339694453662,1.432341236491996,5533,[  9.88  -74.18  -19.225],[-0.064 -0.559  0.827],[0.668 1.114 1.256 1.336 3.   ]
L,1.2549825075819323,-1.7534292589324874,0.8740108322910821,48.92058866445263,0.2859770746558467,0.818589528446735,1.9965452115003024,-0.9495909223250132,590,[-11.917 -87.475 -24.371],[ 0.496  0.76  -0.419],[0.891 1.559 1.639 1.782 3.   ]
