hemi,x,y,size,beta,baseline,r2,ecc,polar,index,position,normal,stim_sizes
R,-0.7168683760718922,1.1894756183935664,0.7632552535834638,87.19630276040274,0.0,0.7150317504531352,1.3887953468256975,2.113181131790848,123777,[  5.119 -82.848 -20.088],[-0.963  0.264 -0.056],[1.419 6.939]
L,1.9541584508442789,-1.0270228499232872,0.9845343486060276,32.84627360438679,0.0,0.6804019549151277,2.207603040691569,-0.4838840301233323,1298,[-21.482 -84.979 -15.645],[-0.601 -0.537  0.592],[1.616 8.871]
